locus tag	logFC	logCPM	PValue	FDR
SL1344_1985	-0,39	4,38	0,56	0,67
SL1344_2187	-1,41	4,01	0,12	0,21
SL1344_2248	-2,30	6,06	0,00	0,00
SL1344_3398	0,62	11,85	0,00	0,01
SL1344_3927	-0,21	8,66	0,39	0,51
SL1344_1098	-0,51	5,88	0,26	0,38
SL1344_1151	-0,47	8,69	0,24	0,36
SL1344_2271	-1,77	4,95	0,01	0,02
SL1344_2273	3,88	8,39	0,00	0,00
SL1344_2394	0,92	8,81	0,00	0,00
SL1344_2935	0,27	5,69	0,60	0,70
SL1344_3275	-1,56	10,07	0,00	0,00
SL1344_3367	0,82	5,49	0,07	0,14
SL1344_3808	-1,52	6,57	0,00	0,00
SL1344_4431	1,76	4,03	0,05	0,10
SL1344_0462	6,78	9,73	0,00	0,00
SL1344_0799	-2,65	4,47	0,04	0,09
SL1344_0949	-0,74	3,38	0,46	0,58
SL1344_2538	-1,41	6,56	0,04	0,09
SL1344_2868	-3,79	6,30	0,00	0,00
SL1344_3484	0,37	8,00	0,32	0,45
SL1344_3862	-3,30	6,29	0,00	0,00
STsORF163	-1,57	5,79	0,00	0,00
SL1344_0044	-2,79	11,29	0,00	0,00
SL1344_0286A	1,18	6,23	0,04	0,09
SL1344_0848	-1,74	8,53	0,00	0,00
SL1344_0979	1,67	3,44	0,13	0,22
SL1344_1183	7,35	6,13	0,00	0,00
SL1344_1527	-0,35	5,97	0,47	0,59
SL1344_2230	-2,00	3,60	0,49	0,60
SL1344_3333	-2,21	4,12	0,01	0,04
SL1344_P1_0071	-0,67	5,30	0,22	0,34
SL1344_0378	3,51	7,56	0,00	0,00
SL1344_0800	1,66	4,44	0,01	0,04
SL1344_1354	8,35	8,16	0,00	0,00
SL1344_1744	-0,29	6,27	0,42	0,55
SL1344_2750	1,00	3,76	0,34	0,46
SL1344_3023	-1,02	6,92	0,00	0,01
SL1344_3334	-3,52	4,52	0,00	0,00
SL1344_4020	3,20	4,02	0,00	0,00
SL1344_4239	-2,00	3,59	0,03	0,07
SL1344_P2_0043	-0,27	3,54	0,87	0,92
SL1344_1331	7,47	9,91	0,00	0,00
SL1344_1909	-2,52	4,60	0,00	0,00
SL1344_3256	-1,43	10,21	0,00	0,00
SL1344_3378	-1,30	6,08	0,04	0,08
SL1344_3745	1,51	3,55	0,14	0,24
SL1344_3943	-0,65	6,29	0,07	0,14
SL1344_4248	-4,27	3,84	0,00	0,00
SL1344_P2_0003	1,12	8,12	0,00	0,00
SL1344_P2_0008	1,34	4,97	0,05	0,10
STsORF132	5,13	7,54	0,00	0,00
SL1344_0329	-2,80	3,44	0,04	0,08
SL1344_0445	-0,67	10,51	0,01	0,03
SL1344_1186	0,11	6,80	0,78	0,84
SL1344_2312	5,51	7,70	0,00	0,00
SL1344_2836	1,91	5,65	0,00	0,00
SL1344_3001	0,44	7,55	0,44	0,56
SL1344_3296	0,94	4,92	0,09	0,17
SL1344_3335	2,27	4,49	0,00	0,00
SL1344_3538	1,02	4,63	0,11	0,20
SL1344_4109	-1,82	11,75	0,00	0,00
SL1344_4129	-0,79	5,31	0,12	0,21
SL1344_0361	1,14	5,52	0,01	0,03
SL1344_1235	-2,20	4,35	0,00	0,01
SL1344_1558	-2,35	5,83	0,00	0,00
SL1344_2349	-0,94	5,83	0,02	0,05
SL1344_2936	1,05	7,12	0,00	0,00
SL1344_3086	-0,07	5,89	0,85	0,90
SL1344_3483	0,64	7,97	0,07	0,14
SL1344_3707	-1,81	8,24	0,00	0,00
SL1344_4322	3,21	3,75	0,01	0,02
STsORF108	3,57	5,19	0,00	0,00
SL1344_1227	1,82	6,12	0,00	0,00
SL1344_1710	4,13	4,99	0,00	0,00
SL1344_3403	-0,96	10,63	0,00	0,00
SL1344_0677	-1,28	5,31	0,01	0,03
SL1344_0725	-0,05	6,54	0,88	0,92
SL1344_1023	0,64	4,05	0,53	0,64
SL1344_1998	-3,08	3,51	0,02	0,04
SL1344_2130	2,22	3,58	0,04	0,08
SL1344_2586	0,28	3,24	0,79	0,86
SL1344_3870	-1,47	5,47	0,01	0,02
SL1344_4199	-2,80	7,03	0,00	0,00
SL1344_P2_0004	2,14	7,48	0,00	0,00
SL1344_0155	-6,70	3,47	0,00	0,00
SL1344_0386	-1,99	6,63	0,00	0,00
SL1344_0919	-0,40	8,11	0,11	0,19
SL1344_1415	6,86	8,98	0,00	0,00
SL1344_1479	0,75	5,57	0,26	0,37
SL1344_2201	-1,62	8,73	0,01	0,01
SL1344_2359	0,11	6,96	0,75	0,82
SL1344_2599	0,93	3,05	0,44	0,56
SL1344_2733	-1,92	5,26	0,17	0,28
SL1344_4380	0,77	5,97	0,12	0,21
SL1344_P2_0053	-1,01	11,72	0,00	0,00
SL1344_P3_0011	1,41	7,83	0,00	0,01
SL1344_P1_0104	-0,59	5,49	0,24	0,36
STsORF125	-0,76	7,73	0,01	0,03
SL1344_1768	2,35	8,44	0,00	0,00
SL1344_3125	3,04	5,32	0,00	0,00
SL1344_3278	1,66	5,71	0,02	0,06
SL1344_3293	0,96	7,34	0,00	0,00
SL1344_3416	0,61	6,03	0,14	0,23
SL1344_3618	1,04	7,60	0,01	0,02
SL1344_3749	2,42	4,67	0,00	0,01
SL1344_4250	-5,27	5,74	0,00	0,00
SL1344_4459	0,56	7,04	0,24	0,36
SL1344_P2_0103	-1,42	6,44	0,02	0,04
STsORF30	-1,75	6,28	0,00	0,00
SL1344_0083	5,21	9,36	0,00	0,00
SL1344_0849	-0,80	3,86	0,33	0,45
SL1344_0956	-2,60	7,19	0,00	0,00
SL1344_1260	0,64	4,79	0,27	0,39
SL1344_1816	-0,22	8,82	0,47	0,59
SL1344_2658	-0,86	5,77	0,12	0,21
SL1344_2732	-2,15	5,83	0,00	0,00
SL1344_2884	0,57	8,09	0,20	0,31
SL1344_3077	-1,35	5,41	0,01	0,03
SL1344_3394	-1,53	10,66	0,00	0,00
SL1344_3614	0,60	5,62	0,17	0,27
SL1344_3761	-1,22	5,49	0,01	0,02
SL1344_3980	1,65	6,16	0,07	0,14
SL1344_P1_0078	-0,30	7,06	0,53	0,64
SL1344_1109	-4,30	5,46	0,00	0,00
SL1344_3270	-1,62	7,50	0,00	0,00
SL1344_3280	-1,47	5,73	0,00	0,01
SL1344_3739	1,10	3,38	0,22	0,34
SL1344_4028	4,05	6,84	0,00	0,00
SL1344_4253	-0,05	6,06	0,90	0,94
SL1344_4266	0,07	9,67	0,77	0,83
SL1344_P1_0013	-0,18	3,59	0,92	0,94
STsORF66	2,83	6,54	0,00	0,00
SL1344_1669	-0,64	5,98	0,10	0,18
SL1344_2705	1,31	3,17	0,33	0,45
SL1344_2916	1,27	4,41	0,05	0,10
SL1344_3281	-0,68	6,76	0,03	0,07
SL1344_3358	-1,19	8,31	0,00	0,00
SL1344_P2_0054A	0,37	14,05	0,22	0,33
SL1344_P1_0082	0,35	5,54	0,63	0,72
STsORF59	1,37	6,94	0,00	0,00
SL1344_1464	3,06	4,25	0,00	0,00
SL1344_1630	1,50	6,36	0,00	0,00
SL1344_1922	1,01	4,80	0,31	0,43
SL1344_2753	-0,26	3,82	0,81	0,87
SL1344_3064	-3,73	4,75	0,00	0,00
SL1344_3169	-1,54	5,01	0,02	0,04
SL1344_3203	-0,33	6,17	0,32	0,44
SL1344_0002	-0,95	8,61	0,00	0,00
SL1344_0003	2,72	8,95	0,00	0,00
SL1344_0004	2,29	9,49	0,00	0,00
SL1344_0005	1,04	6,39	0,01	0,02
SL1344_0006	2,35	7,47	0,00	0,00
SL1344_0007	-0,89	9,19	0,00	0,00
SL1344_0008	-1,90	6,14	0,00	0,00
SL1344_0009	-1,15	4,67	0,09	0,16
SL1344_0011	0,66	3,32	0,47	0,59
SL1344_0012	-0,73	8,81	0,01	0,02
SL1344_0013	-0,70	6,43	0,07	0,13
SL1344_0014	-0,81	3,85	0,38	0,51
SL1344_0016	0,18	3,70	0,90	0,93
SL1344_0018	-0,29	7,17	0,59	0,69
SL1344_0019	-1,35	5,71	0,05	0,10
SL1344_0020	-2,80	3,45	0,31	0,44
SL1344_0021	-0,95	3,59	0,55	0,66
SL1344_0023	0,97	4,09	0,24	0,36
SL1344_0024	-1,66	3,49	0,29	0,42
SL1344_0028	1,01	4,76	0,11	0,19
SL1344_0029	-1,68	4,14	0,09	0,17
SL1344_0031	0,17	3,44	0,90	0,93
SL1344_0033	-0,05	4,71	0,95	0,97
SL1344_0034	-0,80	5,09	0,28	0,41
SL1344_0036	0,42	5,51	0,61	0,71
SL1344_0037	-0,17	4,72	0,82	0,88
SL1344_0038	-4,91	4,23	0,03	0,07
SL1344_0039	-0,86	5,55	0,25	0,37
SL1344_0040	-0,96	8,83	0,00	0,00
SL1344_0041	-1,66	7,88	0,00	0,00
SL1344_0042	0,87	4,49	0,28	0,40
SL1344_0046	-0,56	7,80	0,03	0,06
SL1344_0047	0,02	9,84	0,92	0,95
SL1344_0048	0,04	7,76	0,87	0,91
SL1344_0049	0,02	5,84	0,96	0,98
SL1344_0050	-0,22	7,59	0,46	0,58
SL1344_0051	-1,24	5,65	0,02	0,04
SL1344_0052	-0,01	5,84	0,98	0,99
SL1344_0053	2,04	3,89	0,02	0,05
SL1344_0054	3,80	4,71	0,00	0,00
SL1344_0059	1,14	3,58	0,47	0,59
