GeneID;Locus_tag;Strand;Start;End;EL (Biological replicate 1);EL (Biological replicate 2);EL (Biological replicate 3);ML (Biological replicate 1);ML (Biological replicate 2);ML (Biological replicate 3);SP (Biological replicate 1);SP (Biological replicate 2);SP (Biological replicate 3);EL_TEX (Biological replicate 1);EL_TEX (Biological replicate 2);EL_TEX(Biological replicate 3);ML_TEX (Biological replicate 1);ML_TEX (Biological replicate 2);ML_TEX (Biological replicate 3);SP_TEX (Biological replicate 1);SP_TEX (Biological replicate 2);SP_TEX (Biological replicate 3)
1075565;BT_0070;-;67710;68333;4644613997;465401729;2784718831;2672426107;2098751977;1721477041;2394449413;1608300911;1871760244;1652525971;159463598;1683246906;204209823;2151158016;1462795626;1211348427;1022662741;1445415732
1074686;BT_0071;-;68637;69134;3438947494;3445909844;3256667163;2318249153;3506348685;2157031473;923161219;1763317867;781779379;5411886806;6273098671;3645407549;7155892511;7669913976;5956926765;3415126891;4812401695;1811123326
1074936;BT_0072;-;69352;69603;3241176521;2619143929;2758197699;3919558291;3060402354;279443998;6385198434;4978074249;8754688127;2371482076;3351737641;2624321455;2399753852;2598379021;2263850373;3499451012;6190085584;7354365758
1074938;BT_0073;-;69588;71018;2605303586;2509106939;2339553017;2160351168;1830358118;221029151;6907258683;7889778055;7345776053;3205843694;2805676137;228504859;2595960142;2280254629;2200633419;6602737759;644136979;8461375111
1073684;BT_0074;-;71009;71500;4043182828;4292840782;3673112058;3519780727;3519533126;3008152835;1495070853;1351365034;1160592802;2660346966;3164217271;2348334708;259217314;2632918449;2017587625;6849535213;7349868803;7935540028
1072752;BT_0075;+;72433;72723;0;0;0;220406277;0;0;394960728;431090966;445963495;0;0;0;41232884;375023776;0;216460887;0;0
1075564;BT_0076;+;73184;74416;213687173;321179694;187906413;208072106;118015791;0;0;203483327;21050345;47517889;65687489;315504512;525493544;796583349;462684748;510868761;575057718;400821881
1072709;BT_0077;+;74493;74999;0;260364604;0;506021511;287008817;470831328;0;0;0;0;228212663;255764012;0;0;0;248481729;0;0
1072739;BT_0078;+;75258;75710;0;0;0;0;0;0;0;0;0;0;0;0;0;240909313;0;0;0;0
1072743;BT_0079;+;76009;76542;0;0;0;0;0;0;0;234920358;0;0;0;242832124;0;204366889;0;0;0;0
